Round,Loss,Accuracy,AUC,Sensitivity,Specificity
0,0.697298646,0.396550298,0.396034631,0.048004212,0.441920592
1,0.674940228,0.79551506,0.795285923,0.948708914,0.720555638
2,0.382606894,0.810211301,0.810381518,0.746976188,0.916354133
3,0.193655789,0.905527353,0.905512309,0.914619276,0.896853693
4,0.188322678,0.908112705,0.908093887,0.919688384,0.897193358
5,0.184473827,0.910973668,0.910949583,0.92609512,0.896932972
6,0.183561221,0.909584522,0.9095737,0.91609639,0.903293631
7,0.181188285,0.912544727,0.912530732,0.921135398,0.904323718
8,0.178793713,0.913740933,0.913722221,0.925422959,0.902718108
9,0.178559527,0.914275646,0.914241477,0.936343441,0.894393797
10,0.177852839,0.913261354,0.913232616,0.931578887,0.896487634
11,0.177607,0.911365032,0.911319001,0.941541124,0.885129843
12,0.173769444,0.914077163,0.914044814,0.934909939,0.895207379
13,0.174502686,0.914402425,0.914367282,0.937153441,0.893965238
14,0.173153341,0.914837897,0.914804488,0.936429011,0.895342494
15,0.172731623,0.915554523,0.915527475,0.932849469,0.899637973
16,0.17105417,0.915576577,0.915572593,0.9178575,0.913327641
17,0.166674078,0.918569863,0.918586462,0.908230302,0.9294111
18,0.16651538,0.920344889,0.920359352,0.911239791,0.929831275
19,0.163688928,0.920344889,0.920360017,0.910840331,0.930267146
20,0.16399157,0.92074728,0.920732072,0.930327637,0.911612681
