Round,Loss,Accuracy,AUC,Sensitivity,Specificity
0,0.6912223100662231,0.5024172067642212,0.5030828516377649,0.5008764314586363,1.0
1,0.25978028774261475,0.877557098865509,0.877511507609996,0.9048532651176011,0.8537883241035795
2,0.20387506484985352,0.8962278366088867,0.8962756519675381,0.8695576041613019,0.9269348449989326
3,0.18776154518127441,0.9066739678382874,0.9066823264788791,0.9014170481796381,0.9120523715525221
4,0.18513065576553345,0.9100641012191772,0.910042290973824,0.9236614222638022,0.8973527592312123
5,0.18027828633785248,0.911535918712616,0.911536163764624,0.9111812344153408,0.91189009947892
6,0.17983752489089966,0.9122029542922974,0.9121863302146259,0.9224814097993277,0.9024437423431556
7,0.19266246259212494,0.9051414728164673,0.9050929412316182,0.9365836824067022,0.878007702182285
8,0.1805243343114853,0.9123132228851318,0.9122933011903335,0.9247289811054613,0.9006395858734946
9,0.18063493072986603,0.9118666648864746,0.911842264139371,0.927247525659824,0.8975996429747851
10,0.17790423333644867,0.9132282733917236,0.913208933455206,0.9253054497925782,0.9018539530303354
11,0.17319589853286743,0.915565550327301,0.9155657765807355,0.915218518641113,0.9159120452993148
12,0.17230400443077087,0.9159018397331238,0.9158967284520919,0.9188780390150588,0.912976949056212
13,0.17044414579868317,0.9160727262496948,0.9160684939291837,0.9184965512645363,0.9136844178869262
14,0.16916771233081818,0.9186194539070129,0.9186168972710302,0.9200265913245803,0.9172261716692997
15,0.16549772024154663,0.9208740592002869,0.9208651866658185,0.926331096196868,0.9155716412881628
16,0.164690300822258,0.9208850860595703,0.9208972416031164,0.9131796895325643,0.9288574344710012
17,0.1641748696565628,0.9220923185348511,0.9220945127372581,0.9205161772956798,0.9236752552260573
18,0.16187283396720886,0.9212102890014648,0.9212080712812627,0.9224337464146095,0.9199978048512787
19,0.1607823520898819,0.9234648942947388,0.9234829435217905,0.9121686980073516,0.9353590222373112
20,0.15899460017681122,0.9242146015167236,0.924218418480759,0.9216273760920146,0.9268254864825952
